bit_len,fp_rate
1,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.002288329519450801
11,0.002254791431792559
12,0.0011154489682097045
13,0.00027533039647577095
14,0.0004098360655737705
15,6.769564040075819e-05
16,0.00016813504606900262
17,6.68594447323115e-05
18,3.32438519651272e-05
19,4.1364362120171745e-05
20,4.5597555970999955e-05
